date,quartier,lat,lon,nb_signalements,symptome,so2,no2,pm25,pm10,dust,vent_vitesse,vent_direction,humidite,temperature,label,niveau
2023-01-01,Bou Chemma,33.882,10.098,6,digestif,0.688,1.5,8.338,11.029,1.708,5.4,122.9,89.2,12.1,2,Critique
2023-01-01,Chatt,33.876,10.105,5,respiratoire,0.688,1.5,8.338,11.029,1.708,5.4,122.9,89.2,12.1,2,Critique
2023-01-01,Metouia,33.971,10.001,1,oculaire,0.688,1.5,8.338,11.029,1.708,5.4,122.9,89.2,12.1,1,Vigilance
2023-01-01,Chenini,33.899,10.044,3,respiratoire,0.688,1.5,8.338,11.029,1.708,5.4,122.9,89.2,12.1,1,Vigilance
2023-01-01,El Akarit,33.849,10.143,6,oculaire,0.688,1.5,8.338,11.029,1.708,5.4,122.9,89.2,12.1,2,Critique
2023-01-01,Oudhref,33.83,10.087,1,dermatologique,0.688,1.5,8.338,11.029,1.708,5.4,122.9,89.2,12.1,1,Vigilance
2023-01-01,Bab Bhar,33.891,10.118,3,oculaire,0.688,1.5,8.338,11.029,1.708,5.4,122.9,89.2,12.1,1,Vigilance
2023-01-01,Jara,33.905,10.071,1,respiratoire,0.688,1.5,8.338,11.029,1.708,5.4,122.9,89.2,12.1,1,Vigilance
2023-01-02,Bou Chemma,33.882,10.098,11,respiratoire,2.812,1.454,9.5,12.162,1.917,8.82,140.0,73.2,13.5,3,Urgence
2023-01-02,Chatt,33.876,10.105,14,respiratoire,2.812,1.454,9.5,12.162,1.917,8.82,140.0,73.2,13.5,3,Urgence
2023-01-02,Metouia,33.971,10.001,8,respiratoire,2.812,1.454,9.5,12.162,1.917,8.82,140.0,73.2,13.5,3,Urgence
2023-01-02,Chenini,33.899,10.044,6,oculaire,2.812,1.454,9.5,12.162,1.917,8.82,140.0,73.2,13.5,3,Urgence
2023-01-02,El Akarit,33.849,10.143,17,respiratoire,2.812,1.454,9.5,12.162,1.917,8.82,140.0,73.2,13.5,3,Urgence
2023-01-02,Oudhref,33.83,10.087,6,oculaire,2.812,1.454,9.5,12.162,1.917,8.82,140.0,73.2,13.5,3,Urgence
2023-01-02,Bab Bhar,33.891,10.118,4,oculaire,2.812,1.454,9.5,12.162,1.917,8.82,140.0,73.2,13.5,3,Urgence
2023-01-02,Jara,33.905,10.071,9,respiratoire,2.812,1.454,9.5,12.162,1.917,8.82,140.0,73.2,13.5,3,Urgence
2023-01-03,Bou Chemma,33.882,10.098,1,respiratoire,2.454,2.296,10.358,14.15,1.958,5.52,222.4,74.3,13.2,3,Urgence
2023-01-03,Chatt,33.876,10.105,5,oculaire,2.454,2.296,10.358,14.15,1.958,5.52,222.4,74.3,13.2,3,Urgence
2023-01-03,Metouia,33.971,10.001,1,respiratoire,2.454,2.296,10.358,14.15,1.958,5.52,222.4,74.3,13.2,3,Urgence
2023-01-03,Chenini,33.899,10.044,2,respiratoire,2.454,2.296,10.358,14.15,1.958,5.52,222.4,74.3,13.2,3,Urgence
2023-01-03,El Akarit,33.849,10.143,8,respiratoire,2.454,2.296,10.358,14.15,1.958,5.52,222.4,74.3,13.2,3,Urgence
2023-01-03,Oudhref,33.83,10.087,3,respiratoire,2.454,2.296,10.358,14.15,1.958,5.52,222.4,74.3,13.2,3,Urgence
2023-01-03,Bab Bhar,33.891,10.118,1,respiratoire,2.454,2.296,10.358,14.15,1.958,5.52,222.4,74.3,13.2,3,Urgence
2023-01-03,Jara,33.905,10.071,2,respiratoire,2.454,2.296,10.358,14.15,1.958,5.52,222.4,74.3,13.2,3,Urgence
2023-01-04,Bou Chemma,33.882,10.098,6,respiratoire,2.154,2.842,11.004,14.933,3.125,6.59,286.7,59.3,12.9,3,Urgence
